Year,Month,mean_extent
1993,6,13.147166666666667
1993,7,15.854870967741938
1993,8,17.491774193548384
1993,9,18.543200000000006
1993,10,18.12754838709678
1993,11,16.042066666666663
1993,12,9.933354838709677
1994,1,4.965709677419354
1994,2,3.197535714285714
1994,3,4.549354838709678
1994,4,7.221566666666667
1994,5,10.408000000000001
1994,6,13.560133333333333
1994,7,16.29596774193548
1994,8,17.839580645161284
1994,9,18.61263333333334
1994,10,18.090064516129036
1994,11,15.88043333333333
1994,12,10.100516129032258
1995,1,5.636
1995,2,3.5607857142857138
1995,3,4.626419354838709
1995,4,7.2676333333333325
1995,5,10.415483870967742
1995,6,13.289866666666663
1995,7,15.743870967741936
1995,8,17.780193548387096
1995,9,18.372733333333333
1995,10,18.02964516129032
1995,11,15.633933333333335
1995,12,10.621903225806454
1996,1,5.871129032258066
1996,2,2.9845862068965516
1996,3,4.183483870967741
1996,4,7.279933333333333
1996,5,10.916741935483872
1996,6,13.870366666666667
1996,7,16.11967741935484
1996,8,17.741387096774194
1996,9,18.6316
1996,10,17.964548387096777
1996,11,15.717900000000004
1996,12,9.653161290322581
1997,1,4.197258064516128
1997,2,2.489535714285714
1997,3,3.4573870967741933
1997,4,6.492333333333334
1997,5,10.123967741935482
1997,6,13.11603333333333
1997,7,15.920677419354842
1997,8,17.684354838709673
1997,9,18.59643333333333
1997,10,17.993387096774196
1997,11,15.732766666666663
1997,12,10.28538709677419
1998,1,4.46490322580645
1998,2,2.989571428571429
1998,3,4.107483870967741
1998,4,6.853833333333333
1998,5,10.328451612903226
1998,6,13.313233333333336
1998,7,15.962677419354842
1998,8,17.881354838709687
1998,9,18.9035
1998,10,18.66045161290323
1998,11,16.300400000000003
1998,12,10.519483870967742
1999,1,4.815870967741935
1999,2,2.966
1999,3,3.9777741935483864
1999,4,6.891800000000001
1999,5,10.26532258064516
1999,6,13.648833333333332
1999,7,16.281612903225803
1999,8,17.95790322580645
1999,9,18.696366666666666
1999,10,18.352161290322584
1999,11,15.964599999999999
1999,12,10.722032258064518
2000,1,4.748870967741935
2000,2,2.906517241379311
2000,3,4.085870967741935
2000,4,7.132300000000001
2000,5,10.920580645161289
2000,6,13.892699999999998
2000,7,16.097741935483867
2000,8,18.20612903225807
2000,9,18.887833333333333
2000,10,18.130516129032255
2000,11,15.757633333333334
2000,12,9.909709677419356
2001,1,5.233096774193547
2001,2,3.650357142857142
2001,3,4.731451612903226
2001,4,7.044266666666669
2001,5,10.329903225806452
2001,6,13.418066666666668
2001,7,15.851870967741933
2001,8,17.42274193548387
2001,9,18.174966666666663
2001,10,17.725999999999996
2001,11,15.6103
2001,12,10.34590322580645
2002,1,4.739612903225805
2002,2,2.9603928571428577
2002,3,3.7482580645161288
2002,4,6.327833333333333
2002,5,9.511548387096774
2002,6,12.375766666666665
2002,7,15.414709677419355
2002,8,17.06667741935484
2002,9,17.88736666666667
2002,10,17.865774193548386
2002,11,15.40583333333333
2002,12,10.78541935483871
2003,1,5.772709677419356
2003,2,3.7885714285714287
2003,3,4.444354838709678
2003,4,7.208266666666666
2003,5,10.735806451612904
2003,6,13.985366666666666
2003,7,16.401967741935486
2003,8,17.582483870967742
2003,9,18.298299999999998
2003,10,18.197999999999997
2003,11,16.109533333333335
2003,12,10.56358064516129
2004,1,5.590516129032258
2004,2,3.5835517241379304
2004,3,4.526193548387098
2004,4,7.279766666666665
2004,5,10.470032258064515
2004,6,13.780000000000003
2004,7,16.33251612903226
2004,8,18.01006451612903
2004,9,18.919233333333334
2004,10,18.45693548387097
2004,11,16.084833333333332
2004,12,10.22890322580645
2005,1,4.751838709677418
2005,2,2.9696071428571438
2005,3,4.081612903225806
2005,4,7.031966666666667
2005,5,10.288806451612903
2005,6,13.291500000000001
2005,7,16.15783870967742
2005,8,17.922483870967746
2005,9,18.8048
2005,10,18.476806451612894
2005,11,16.31616666666666
2005,12,9.680258064516131
2006,1,4.163548387096774
2006,2,2.6513928571428567
2006,3,3.214612903225805
2006,4,6.0104
2006,5,9.45625806451613
2006,6,13.344766666666667
2006,7,16.114129032258067
2006,8,18.097645161290323
2006,9,19.0941
2006,10,18.732612903225807
2006,11,16.229833333333332
2006,12,9.854129032258067
2007,1,4.672580645161291
2007,2,2.904607142857143
2007,3,3.8348064516129035
2007,4,6.418266666666668
2007,5,9.647806451612901
2007,6,13.2873
2007,7,15.95577419354839
2007,8,17.68190322580645
2007,9,18.860633333333336
2007,10,18.50774193548387
2007,11,15.892133333333332
2007,12,11.980516129032255
2008,1,6.413709677419353
2008,2,3.894517241379311
2008,3,5.284451612903224
2008,4,8.242299999999998
2008,5,11.049354838709679
2008,6,14.061666666666666
2008,7,16.09483870967742
2008,8,17.644516129032258
2008,9,18.145033333333334
2008,10,17.99390322580645
2008,11,16.24813333333333
2008,12,11.51174193548387
2009,1,5.70735483870968
2009,2,2.9905714285714287
2009,3,4.441064516129031
2009,4,7.798500000000002
2009,5,10.925741935483869
2009,6,13.907466666666664
2009,7,16.261322580645164
2009,8,18.0978064516129
2009,9,18.960466666666665
2009,10,18.298225806451615
2009,11,15.847833333333329
2009,12,10.738548387096772
2010,1,4.958096774193547
2010,2,3.1054999999999997
2010,3,3.846741935483871
2010,4,6.715433333333333
2010,5,10.639258064516131
2010,6,14.410200000000003
2010,7,16.921322580645167
2010,8,18.607064516129032
2010,9,18.7986
2010,10,18.648322580645164
2010,11,16.7549
2010,12,11.271161290322581
2011,1,4.511709677419355
2011,2,2.519071428571428
2011,3,3.367838709677419
2011,4,6.096599999999999
2011,5,10.092741935483874
2011,6,13.333300000000003
2011,7,15.752548387096773
2011,8,17.805451612903227
2011,9,18.73923333333334
2011,10,18.218483870967738
2011,11,15.757366666666664
2011,12,11.198967741935482
2012,1,5.653870967741936
2012,2,3.553241379310345
2012,3,4.55025806451613
2012,4,7.309233333333333
2012,5,10.457000000000003
2012,6,13.546666666666669
2012,7,16.298
2012,8,18.096967741935487
2012,9,19.20783333333333
2012,10,18.593870967741942
2012,11,16.10993333333333
2012,12,10.39422580645161
2013,1,5.543290322580646
2013,2,3.8364285714285713
2013,3,5.017387096774195
2013,4,7.622633333333332
2013,5,10.919741935483874
2013,6,14.154833333333334
2013,7,16.80854838709677
2013,8,18.663774193548388
2013,9,19.388666666666666
2013,10,19.017774193548387
2013,11,16.87216666666666
2013,12,11.85358064516129
2014,1,6.326806451612903
2014,2,3.8429999999999995
2014,3,4.901516129032258
2014,4,8.343
2014,5,11.519354838709678
2014,6,14.686666666666664
2014,7,17.105741935483866
2014,8,18.907967741935487
2014,9,19.7564
2014,10,19.002806451612905
2014,11,16.387766666666668
2014,12,11.928290322580644
2015,1,6.851870967741935
2015,2,3.7989285714285717
2015,3,4.964258064516128
2015,4,8.3732
2015,5,11.716129032258063
2015,6,14.4749
2015,7,16.775225806451612
2015,8,17.749354838709678
2015,9,18.444
2015,10,18.40925806451613
2015,11,16.175100000000004
2015,12,10.655225806451613
2016,1,4.680258064516128
2016,2,2.7790344827586213
2016,3,4.072903225806451
2016,4,7.2088
2016,5,10.086483870967742
2016,6,13.2079
2016,7,15.97390322580645
2016,8,17.811645161290322
2016,9,18.074900000000007
2016,10,17.38803225806452
2016,11,14.119799999999998
2016,12,8.179774193548386
2017,1,3.735096774193548
2017,2,2.273392857142857
2017,3,2.6935806451612905
2017,4,5.4304333333333314
2017,5,8.999193548387098
2017,6,11.14557142857143
