hemisphere,Year,Month,mean_extent
north,1986,2,15.784857142857147
north,1986,3,15.909466666666667
north,1986,4,15.058800000000002
north,1986,5,13.379562500000002
north,1986,6,11.975933333333334
north,1986,7,10.146466666666667
north,1986,8,7.9795625
north,1986,9,7.410666666666667
north,1986,10,9.483933333333333
north,1986,11,11.453266666666668
north,1986,12,13.222437499999998
north,1987,1,14.9698
north,1987,2,16.050142857142863
north,1987,3,15.815937499999999
north,1987,4,15.210866666666666
north,1987,5,13.742933333333335
north,1987,6,12.485666666666667
north,1987,7,10.332562500000002
north,1987,8,7.499904761904761
north,1987,9,7.278699999999999
north,1987,10,9.048774193548386
north,1987,11,11.224033333333335
north,1987,12,12.540500000000002
north,1988,1,15.090473684210526
north,1988,2,15.583379310344828
north,1988,3,15.95722580645161
north,1988,4,15.123333333333335
north,1988,5,13.560870967741932
north,1988,6,11.943433333333331
north,1988,7,9.80867741935484
north,1988,8,7.891580645161291
north,1988,9,7.369
north,1988,10,9.135032258064518
north,1988,11,11.330833333333333
north,1988,12,13.625548387096776
north,1989,1,14.954806451612903
north,1989,2,15.495535714285712
north,1989,3,15.423290322580646
north,1989,4,14.328399999999998
north,1989,5,13.044129032258065
north,1989,6,12.244533333333333
north,1989,7,10.129709677419354
north,1989,8,7.881774193548386
north,1989,9,7.0083333333333355
north,1989,10,8.828903225806453
north,1989,11,11.115233333333334
north,1989,12,13.386806451612902
north,1990,1,14.78261290322581
north,1990,2,15.578214285714282
north,1990,3,15.866741935483867
north,1990,4,14.650066666666664
north,1990,5,13.225838709677417
north,1990,6,11.640566666666663
north,1990,7,9.246612903225806
north,1990,8,6.797483870967743
north,1990,9,6.142799999999999
north,1990,10,8.484935483870967
north,1990,11,11.075199999999999
north,1990,12,13.105548387096777
north,1991,1,14.363806451612902
north,1991,2,15.24939285714286
north,1991,3,15.416129032258064
north,1991,4,14.859733333333335
north,1991,5,13.473129032258065
north,1991,6,12.108033333333337
north,1991,7,9.514032258064514
north,1991,8,7.415354838709678
north,1991,9,6.472899999999999
north,1991,10,8.541419354838709
north,1991,11,10.884600000000002
north,1991,12,12.945096774193546
north,1992,1,14.642677419354841
north,1992,2,15.46210344827586
north,1992,3,15.481129032258066
north,1992,4,14.6769
north,1992,5,13.215548387096776
north,1992,6,12.14676666666667
north,1992,7,10.323129032258066
north,1992,8,7.92525806451613
north,1992,9,7.4737
north,1992,10,9.319516129032259
north,1992,11,11.378666666666668
north,1992,12,13.407387096774196
north,1993,1,14.896064516129034
north,1993,2,15.685642857142856
north,1993,3,15.813161290322583
north,1993,4,15.0772
north,1993,5,13.36822580645161
north,1993,6,11.8709
north,1993,7,9.476354838709675
north,1993,8,7.335000000000001
north,1993,9,6.396666666666666
north,1993,10,8.786129032258065
north,1993,11,11.318733333333334
north,1993,12,13.318967741935484
north,1994,1,14.729774193548383
north,1994,2,15.561892857142857
north,1994,3,15.553612903225812
north,1994,4,14.888033333333333
north,1994,5,13.624387096774194
north,1994,6,12.0164
north,1994,7,9.925161290322581
north,1994,8,7.639290322580646
north,1994,9,7.1376
north,1994,10,8.915290322580644
north,1994,11,11.1232
north,1994,12,13.271870967741936
north,1995,1,14.586387096774196
north,1995,2,15.22567857142857
north,1995,3,15.260161290322579
north,1995,4,14.4486
north,1995,5,12.972064516129029
north,1995,6,11.440433333333333
north,1995,7,8.98709677419355
north,1995,8,6.7443548387096754
north,1995,9,6.080133333333333
north,1995,10,7.828935483870969
north,1995,11,10.760866666666667
north,1995,12,12.92083870967742
north,1996,1,14.180870967741933
north,1996,2,15.154827586206897
north,1996,3,15.122806451612904
north,1996,4,14.215866666666667
north,1996,5,13.094548387096772
north,1996,6,12.083833333333335
north,1996,7,10.164258064516126
north,1996,8,8.180451612903227
north,1996,9,7.582533333333334
north,1996,10,9.160967741935485
north,1996,11,10.4017
north,1996,12,12.861258064516127
north,1997,1,14.41748387096774
north,1997,2,15.436714285714286
north,1997,3,15.467516129032258
north,1997,4,14.56303333333333
north,1997,5,13.177161290322582
north,1997,6,11.738366666666666
north,1997,7,9.410838709677419
north,1997,8,7.285032258064518
north,1997,9,6.686333333333333
north,1997,10,8.336548387096776
north,1997,11,10.68416666666667
north,1997,12,13.076193548387094
north,1998,1,14.720516129032259
north,1998,2,15.74582142857143
north,1998,3,15.598096774193545
north,1998,4,14.891933333333334
north,1998,5,13.589838709677418
north,1998,6,11.705700000000002
north,1998,7,9.415161290322581
north,1998,8,7.5088709677419345
north,1998,9,6.536033333333335
north,1998,10,8.451870967741934
north,1998,11,10.440599999999996
north,1998,12,12.758645161290321
north,1999,1,14.359387096774194
north,1999,2,15.308928571428575
north,1999,3,15.397677419354839
north,1999,4,15.083899999999998
north,1999,5,13.750967741935485
north,1999,6,11.779166666666667
north,1999,7,9.488290322580644
north,1999,8,7.225580645161292
north,1999,9,6.116866666666667
north,1999,10,8.602806451612905
north,1999,11,10.796466666666667
north,1999,12,12.641193548387097
north,2000,1,14.22035483870968
north,2000,2,15.14148275862069
north,2000,3,15.224838709677421
north,2000,4,14.558166666666665
north,2000,5,13.15267741935484
north,2000,6,11.665233333333337
north,2000,7,9.512999999999998
north,2000,8,7.168322580645163
north,2000,9,6.246066666666667
north,2000,10,8.37941935483871
north,2000,11,10.3211
north,2000,12,12.63725806451613
north,2001,1,14.202612903225804
north,2001,2,15.211142857142857
north,2001,3,15.51632258064516
north,2001,4,14.856833333333332
north,2001,5,13.50961290322581
north,2001,6,11.455933333333332
north,2001,7,9.070354838709674
north,2001,8,7.4608064516129025
north,2001,9,6.732166666666667
north,2001,10,8.298290322580646
north,2001,11,10.657833333333333
north,2001,12,12.490741935483873
north,2002,1,14.272612903225806
north,2002,2,15.342357142857145
north,2002,3,15.348903225806449
north,2002,4,14.299433333333333
north,2002,5,12.970612903225806
north,2002,6,11.583400000000001
north,2002,7,9.274161290322581
north,2002,8,6.599000000000002
north,2002,9,5.827133333333333
north,2002,10,8.161903225806451
north,2002,11,10.341866666666668
north,2002,12,12.608451612903226
north,2003,1,14.390838709677421
north,2003,2,15.193142857142856
north,2003,3,15.48490322580645
north,2003,4,14.512066666666666
north,2003,5,13.016064516129033
north,2003,6,11.604033333333332
north,2003,7,9.21477419354839
north,2003,8,6.935870967741936
north,2003,9,6.1160999999999985
north,2003,10,7.848290322580646
north,2003,11,10.125333333333336
north,2003,12,12.588354838709675
north,2004,1,14.026419354838708
north,2004,2,14.914379310344827
north,2004,3,14.99258064516129
north,2004,4,13.987333333333332
north,2004,5,12.558419354838708
north,2004,6,11.447066666666668
north,2004,7,9.431354838709677
north,2004,8,6.854838709677417
north,2004,9,5.9845
north,2004,10,7.925290322580645
north,2004,11,10.343266666666668
north,2004,12,12.55358064516129
north,2005,1,13.661451612903226
north,2005,2,14.372857142857141
north,2005,3,14.686612903225809
north,2005,4,14.089833333333337
north,2005,5,12.911096774193547
north,2005,6,11.162033333333333
north,2005,7,8.648741935483873
north,2005,8,6.301129032258062
north,2005,9,5.503766666666667
north,2005,10,7.351967741935484
north,2005,11,10.216333333333331
north,2005,12,12.22761290322581
north,2006,1,13.46558064516129
north,2006,2,14.324964285714282
north,2006,3,14.420967741935483
north,2006,4,13.905866666666668
north,2006,5,12.517354838709673
north,2006,6,10.919499999999998
north,2006,7,8.459838709677417
north,2006,8,6.4956129032258065
north,2006,9,5.862433333333333
north,2006,10,7.541096774193549
north,2006,11,9.658733333333336
north,2006,12,11.954677419354837
north,2007,1,13.703032258064518
north,2007,2,14.513249999999998
north,2007,3,14.54209677419355
north,2007,4,13.845200000000002
north,2007,5,12.779677419354838
north,2007,6,11.22006666666667
north,2007,7,7.94283870967742
north,2007,8,5.3423225806451615
north,2007,9,4.267266666666667
north,2007,10,6.039709677419354
north,2007,11,9.760166666666665
north,2007,12,12.033967741935486
north,2008,1,13.887258064516129
north,2008,2,14.953448275862069
north,2008,3,15.178903225806453
north,2008,4,14.351933333333337
north,2008,5,12.973999999999998
north,2008,6,11.208333333333336
north,2008,7,8.677935483870966
north,2008,8,5.913064516129031
north,2008,9,4.687433333333334
north,2008,10,7.349870967741936
north,2008,11,10.342866666666668
north,2008,12,12.358483870967742
north,2009,1,13.913709677419355
north,2009,2,14.811535714285716
north,2009,3,14.983612903225806
north,2009,4,14.495633333333332
north,2009,5,13.186709677419353
north,2009,6,11.320266666666663
north,2009,7,8.465451612903225
north,2009,8,6.135741935483873
north,2009,9,5.261633333333333
north,2009,10,6.92032258064516
north,2009,11,9.771733333333334
north,2009,12,12.199870967741937
north,2010,1,13.73906451612903
north,2010,2,14.581428571428571
north,2010,3,15.136709677419354
north,2010,4,14.658733333333338
north,2010,5,12.866096774193545
north,2010,6,10.5851
north,2010,7,8.074677419354838
north,2010,8,5.8749032258064515
north,2010,9,4.865066666666667
north,2010,10,6.9839032258064515
north,2010,11,9.613966666666668
north,2010,12,11.83083870967742
north,2011,1,13.463967741935484
north,2011,2,14.363035714285713
north,2011,3,14.546516129032263
north,2011,4,14.1078
north,2011,5,12.680774193548393
north,2011,6,10.748666666666667
north,2011,7,7.724387096774193
north,2011,8,5.502451612903226
north,2011,9,4.561333333333333
north,2011,10,6.464548387096774
north,2011,11,9.7718
north,2011,12,12.153580645161291
north,2012,1,13.729419354838708
north,2012,2,14.55334482758621
north,2012,3,15.196258064516131
north,2012,4,14.625766666666665
north,2012,5,13.011806451612902
north,2012,6,10.674533333333333
north,2012,7,7.671774193548385
north,2012,8,4.723290322580647
north,2012,9,3.5656000000000008
north,2012,10,5.885870967741937
north,2012,11,9.387966666666665
north,2012,12,12.00638709677419
north,2013,1,13.702645161290324
north,2013,2,14.723535714285717
north,2013,3,15.032032258064516
north,2013,4,14.298733333333333
north,2013,5,12.99725806451613
north,2013,6,11.36013333333333
north,2013,7,8.131677419354839
north,2013,8,6.013516129032259
north,2013,9,5.208266666666665
north,2013,10,7.4548387096774205
north,2013,11,9.939033333333333
north,2013,12,12.18425806451613
north,2014,1,13.647483870967742
north,2014,2,14.417571428571424
north,2014,3,14.757516129032258
north,2014,4,14.087866666666669
north,2014,5,12.700709677419352
north,2014,6,11.0326
north,2014,7,8.108451612903226
north,2014,8,6.077870967741936
north,2014,9,5.219933333333332
north,2014,10,7.232451612903224
north,2014,11,10.1146
north,2014,12,12.352580645161291
north,2015,1,13.602322580645163
north,2015,2,14.400642857142858
north,2015,3,14.370516129032255
north,2015,4,13.89316666666667
north,2015,5,12.46809677419355
north,2015,6,10.878899999999994
north,2015,7,8.377870967741936
north,2015,8,5.5987419354838694
north,2015,9,4.615766666666665
north,2015,10,6.966225806451613
north,2015,11,9.846166666666669
north,2015,12,12.044774193548388
north,2016,1,13.472516129032257
north,2016,2,14.210344827586205
north,2016,3,14.404870967741935
north,2016,4,13.69396666666667
north,2016,5,11.899870967741936
north,2016,6,10.352566666666666
north,2016,7,7.893903225806451
north,2016,8,5.387774193548387
north,2016,9,4.505066666666668
north,2016,10,6.036967741935484
north,2016,11,8.63423333333333
north,2016,12,11.467935483870967
north,2017,1,13.17406451612903
north,2017,2,14.111750000000002
north,2017,3,14.273000000000001
north,2017,4,13.760266666666668
north,2017,5,12.616483870967745
north,2017,6,11.61957142857143
south,1978,10,17.699
south,1978,11,15.8964
south,1978,12,10.395249999999999
south,1979,1,5.4022
south,1979,2,3.1410714285714287
south,1979,3,3.9993125
south,1979,4,7.485533333333334
south,1979,5,10.826666666666664
south,1979,6,14.187000000000001
south,1979,7,16.516875000000002
south,1979,8,17.698266666666665
south,1979,9,18.195533333333334
south,1979,10,17.8205
south,1979,11,15.337066666666665
south,1979,12,9.235800000000001
south,1980,1,4.562
south,1980,2,2.818357142857143
south,1980,3,3.2948749999999998
south,1980,4,5.405
south,1980,5,8.856666666666667
south,1980,6,12.490266666666663
south,1980,7,15.564437499999999
south,1980,8,17.805600000000002
south,1980,9,18.81726666666667
south,1980,10,18.567875
south,1980,11,16.133133333333333
south,1980,12,10.155866666666666
south,1981,1,4.411875
south,1981,2,2.8735
south,1981,3,3.391533333333333
south,1981,4,5.838466666666667
south,1981,5,9.354624999999999
south,1981,6,13.108533333333334
south,1981,7,16.038733333333333
south,1981,8,17.7365
south,1981,9,18.596466666666668
south,1981,10,18.293733333333332
south,1981,11,16.11133333333333
south,1981,12,10.894812499999999
south,1982,1,5.260066666666666
south,1982,2,3.1284999999999994
south,1982,3,4.2878125
south,1982,4,7.722933333333333
south,1982,5,10.758333333333335
south,1982,6,13.416733333333333
south,1982,7,15.872187499999999
south,1982,8,17.789199999999997
south,1982,9,18.35346666666667
south,1982,10,17.788375
south,1982,11,15.536599999999998
south,1982,12,9.215666666666667
south,1983,1,4.770499999999998
south,1983,2,3.0702857142857143
south,1983,3,4.015666666666666
south,1983,4,6.470400000000001
south,1983,5,9.526
south,1983,6,12.642599999999998
south,1983,7,15.466666666666665
south,1983,8,17.250812500000002
south,1983,9,18.5852
south,1983,10,17.915333333333333
south,1983,11,16.014200000000002
south,1983,12,10.393874999999998
south,1984,1,4.778666666666667
south,1984,2,2.6772666666666667
south,1984,3,3.6123333333333334
south,1984,4,6.421999999999999
south,1984,5,9.7484375
south,1984,6,13.230466666666667
south,1984,7,16.394866666666665
south,1984,8,17.927687499999998
south,1984,9,18.17146666666667
south,1984,10,17.5726
south,1984,11,16.134
south,1984,12,10.472999999999997
south,1985,1,4.4554
south,1985,2,2.8364285714285713
south,1985,3,3.7171875
south,1985,4,6.4932
south,1985,5,10.152800000000001
south,1985,6,13.42853333333333
south,1985,7,15.720937500000003
south,1985,8,17.632200000000005
south,1985,9,18.7032
south,1985,10,18.204437500000004
south,1985,11,16.1402
south,1985,12,11.352200000000002
south,1986,1,5.422249999999999
south,1986,2,3.1931428571428575
south,1986,3,3.6984
south,1986,4,6.385533333333334
south,1986,5,9.295625
south,1986,6,12.687
south,1986,7,15.3168
south,1986,8,16.9988125
south,1986,9,17.683133333333334
south,1986,10,17.183733333333333
south,1986,11,15.006599999999997
south,1986,12,9.653937499999998
south,1987,1,5.126000000000001
south,1987,2,3.253714285714286
south,1987,3,4.11275
south,1987,4,6.796933333333333
south,1987,5,9.694066666666664
south,1987,6,12.684333333333335
south,1987,7,15.751562499999999
south,1987,8,17.66142857142857
south,1987,9,18.24606666666666
south,1987,10,17.67409677419355
south,1987,11,15.584099999999994
south,1987,12,13.379000000000001
south,1988,1,3.8171578947368427
south,1988,2,2.8856896551724134
south,1988,3,3.9661935483870963
south,1988,4,6.2874
south,1988,5,9.602290322580643
south,1988,6,13.0928
south,1988,7,15.748677419354838
south,1988,8,17.561
south,1988,9,18.307199999999998
south,1988,10,18.361032258064515
south,1988,11,16.147666666666662
south,1988,12,11.060612903225806
south,1989,1,4.736806451612903
south,1989,2,2.977607142857143
south,1989,3,3.927290322580645
south,1989,4,6.306266666666667
south,1989,5,10.297161290322576
south,1989,6,13.580433333333334
south,1989,7,15.710580645161292
south,1989,8,17.465645161290322
south,1989,9,18.12106666666667
south,1989,10,17.856096774193553
south,1989,11,15.733433333333332
south,1989,12,9.837516129032258
south,1990,1,4.867387096774192
south,1990,2,3.036178571428571
south,1990,3,3.965967741935484
south,1990,4,6.999866666666666
south,1990,5,9.715451612903227
south,1990,6,13.082899999999997
south,1990,7,15.57093548387097
south,1990,8,17.56745161290323
south,1990,9,18.192999999999998
south,1990,10,17.945322580645165
south,1990,11,15.4683
south,1990,12,9.953516129032257
south,1991,1,5.33825806451613
south,1991,2,3.161107142857144
south,1991,3,3.806838709677419
south,1991,4,7.053466666666666
south,1991,5,10.279451612903225
south,1991,6,13.065666666666665
south,1991,7,15.550419354838713
south,1991,8,17.718967741935487
south,1991,9,18.3126
south,1991,10,17.917290322580648
south,1991,11,15.58353333333333
south,1991,12,10.192322580645161
south,1992,1,4.748870967741935
south,1992,2,2.8373793103448284
south,1992,3,3.573290322580645
south,1992,4,6.794099999999999
south,1992,5,9.924774193548386
south,1992,6,12.808500000000002
south,1992,7,15.894419354838709
south,1992,8,17.72703225806451
south,1992,9,18.147200000000005
south,1992,10,17.933967741935486
south,1992,11,15.8955
south,1992,12,10.205741935483875
south,1993,1,4.409387096774195
south,1993,2,2.482178571428571
south,1993,3,3.668193548387097
south,1993,4,6.651599999999999
south,1993,5,10.103774193548386
south,1993,6,13.147166666666667
south,1993,7,15.854870967741938
south,1993,8,17.491774193548384
south,1993,9,18.543200000000006
south,1993,10,18.12754838709678
south,1993,11,16.042066666666663
south,1993,12,9.933354838709677
south,1994,1,4.965709677419354
south,1994,2,3.197535714285714
south,1994,3,4.549354838709678
south,1994,4,7.221566666666667
south,1994,5,10.408000000000001
south,1994,6,13.560133333333333
south,1994,7,16.29596774193548
south,1994,8,17.839580645161284
south,1994,9,18.61263333333334
south,1994,10,18.090064516129036
south,1994,11,15.88043333333333
south,1994,12,10.100516129032258
south,1995,1,5.636
south,1995,2,3.5607857142857138
south,1995,3,4.626419354838709
south,1995,4,7.2676333333333325
south,1995,5,10.415483870967742
south,1995,6,13.289866666666663
south,1995,7,15.743870967741936
south,1995,8,17.780193548387096
south,1995,9,18.372733333333333
south,1995,10,18.02964516129032
south,1995,11,15.633933333333335
south,1995,12,10.621903225806454
south,1996,1,5.871129032258066
south,1996,2,2.9845862068965516
south,1996,3,4.183483870967741
south,1996,4,7.279933333333333
south,1996,5,10.916741935483872
south,1996,6,13.870366666666667
south,1996,7,16.11967741935484
south,1996,8,17.741387096774194
south,1996,9,18.6316
south,1996,10,17.964548387096777
south,1996,11,15.717900000000004
south,1996,12,9.653161290322581
south,1997,1,4.197258064516128
south,1997,2,2.489535714285714
south,1997,3,3.4573870967741933
south,1997,4,6.492333333333334
south,1997,5,10.123967741935482
south,1997,6,13.11603333333333
south,1997,7,15.920677419354842
south,1997,8,17.684354838709673
south,1997,9,18.59643333333333
south,1997,10,17.993387096774196
south,1997,11,15.732766666666663
south,1997,12,10.28538709677419
south,1998,1,4.46490322580645
south,1998,2,2.989571428571429
south,1998,3,4.107483870967741
south,1998,4,6.853833333333333
south,1998,5,10.328451612903226
south,1998,6,13.313233333333336
south,1998,7,15.962677419354842
south,1998,8,17.881354838709687
south,1998,9,18.9035
south,1998,10,18.66045161290323
south,1998,11,16.300400000000003
south,1998,12,10.519483870967742
south,1999,1,4.815870967741935
south,1999,2,2.966
south,1999,3,3.9777741935483864
south,1999,4,6.891800000000001
south,1999,5,10.26532258064516
south,1999,6,13.648833333333332
south,1999,7,16.281612903225803
south,1999,8,17.95790322580645
south,1999,9,18.696366666666666
south,1999,10,18.352161290322584
south,1999,11,15.964599999999999
south,1999,12,10.722032258064518
south,2000,1,4.748870967741935
south,2000,2,2.906517241379311
south,2000,3,4.085870967741935
south,2000,4,7.132300000000001
south,2000,5,10.920580645161289
south,2000,6,13.892699999999998
south,2000,7,16.097741935483867
south,2000,8,18.20612903225807
south,2000,9,18.887833333333333
south,2000,10,18.130516129032255
south,2000,11,15.757633333333334
south,2000,12,9.909709677419356
south,2001,1,5.233096774193547
south,2001,2,3.650357142857142
south,2001,3,4.731451612903226
south,2001,4,7.044266666666669
south,2001,5,10.329903225806452
south,2001,6,13.418066666666668
south,2001,7,15.851870967741933
south,2001,8,17.42274193548387
south,2001,9,18.174966666666663
south,2001,10,17.725999999999996
south,2001,11,15.6103
south,2001,12,10.34590322580645
south,2002,1,4.739612903225805
south,2002,2,2.9603928571428577
south,2002,3,3.7482580645161288
south,2002,4,6.327833333333333
south,2002,5,9.511548387096774
south,2002,6,12.375766666666665
south,2002,7,15.414709677419355
south,2002,8,17.06667741935484
south,2002,9,17.88736666666667
south,2002,10,17.865774193548386
south,2002,11,15.40583333333333
south,2002,12,10.78541935483871
south,2003,1,5.772709677419356
south,2003,2,3.7885714285714287
south,2003,3,4.444354838709678
south,2003,4,7.208266666666666
south,2003,5,10.735806451612904
south,2003,6,13.985366666666666
south,2003,7,16.401967741935486
south,2003,8,17.582483870967742
south,2003,9,18.298299999999998
south,2003,10,18.197999999999997
south,2003,11,16.109533333333335
south,2003,12,10.56358064516129
south,2004,1,5.590516129032258
south,2004,2,3.5835517241379304
south,2004,3,4.526193548387098
south,2004,4,7.279766666666665
south,2004,5,10.470032258064515
south,2004,6,13.780000000000003
south,2004,7,16.33251612903226
south,2004,8,18.01006451612903
south,2004,9,18.919233333333334
south,2004,10,18.45693548387097
south,2004,11,16.084833333333332
south,2004,12,10.22890322580645
south,2005,1,4.751838709677418
south,2005,2,2.9696071428571438
south,2005,3,4.081612903225806
south,2005,4,7.031966666666667
south,2005,5,10.288806451612903
south,2005,6,13.291500000000001
south,2005,7,16.15783870967742
south,2005,8,17.922483870967746
south,2005,9,18.8048
south,2005,10,18.476806451612894
south,2005,11,16.31616666666666
south,2005,12,9.680258064516131
south,2006,1,4.163548387096774
south,2006,2,2.6513928571428567
south,2006,3,3.214612903225805
south,2006,4,6.0104
south,2006,5,9.45625806451613
south,2006,6,13.344766666666667
south,2006,7,16.114129032258067
south,2006,8,18.097645161290323
south,2006,9,19.0941
south,2006,10,18.732612903225807
south,2006,11,16.229833333333332
south,2006,12,9.854129032258067
south,2007,1,4.672580645161291
south,2007,2,2.904607142857143
south,2007,3,3.8348064516129035
south,2007,4,6.418266666666668
south,2007,5,9.647806451612901
south,2007,6,13.2873
south,2007,7,15.95577419354839
south,2007,8,17.68190322580645
south,2007,9,18.860633333333336
south,2007,10,18.50774193548387
south,2007,11,15.892133333333332
south,2007,12,11.980516129032255
south,2008,1,6.413709677419353
south,2008,2,3.894517241379311
south,2008,3,5.284451612903224
south,2008,4,8.242299999999998
south,2008,5,11.049354838709679
south,2008,6,14.061666666666666
south,2008,7,16.09483870967742
south,2008,8,17.644516129032258
south,2008,9,18.145033333333334
south,2008,10,17.99390322580645
south,2008,11,16.24813333333333
south,2008,12,11.51174193548387
south,2009,1,5.70735483870968
south,2009,2,2.9905714285714287
south,2009,3,4.441064516129031
south,2009,4,7.798500000000002
south,2009,5,10.925741935483869
south,2009,6,13.907466666666664
south,2009,7,16.261322580645164
south,2009,8,18.0978064516129
south,2009,9,18.960466666666665
south,2009,10,18.298225806451615
south,2009,11,15.847833333333329
south,2009,12,10.738548387096772
south,2010,1,4.958096774193547
south,2010,2,3.1054999999999997
south,2010,3,3.846741935483871
south,2010,4,6.715433333333333
south,2010,5,10.639258064516131
south,2010,6,14.410200000000003
south,2010,7,16.921322580645167
south,2010,8,18.607064516129032
south,2010,9,18.7986
south,2010,10,18.648322580645164
south,2010,11,16.7549
south,2010,12,11.271161290322581
south,2011,1,4.511709677419355
south,2011,2,2.519071428571428
south,2011,3,3.367838709677419
south,2011,4,6.096599999999999
south,2011,5,10.092741935483874
south,2011,6,13.333300000000003
south,2011,7,15.752548387096773
south,2011,8,17.805451612903227
south,2011,9,18.73923333333334
south,2011,10,18.218483870967738
south,2011,11,15.757366666666664
south,2011,12,11.198967741935482
south,2012,1,5.653870967741936
south,2012,2,3.553241379310345
south,2012,3,4.55025806451613
south,2012,4,7.309233333333333
south,2012,5,10.457000000000003
south,2012,6,13.546666666666669
south,2012,7,16.298
south,2012,8,18.096967741935487
south,2012,9,19.20783333333333
south,2012,10,18.593870967741942
south,2012,11,16.10993333333333
south,2012,12,10.39422580645161
south,2013,1,5.543290322580646
south,2013,2,3.8364285714285713
south,2013,3,5.017387096774195
south,2013,4,7.622633333333332
south,2013,5,10.919741935483874
south,2013,6,14.154833333333334
south,2013,7,16.80854838709677
south,2013,8,18.663774193548388
south,2013,9,19.388666666666666
south,2013,10,19.017774193548387
south,2013,11,16.87216666666666
south,2013,12,11.85358064516129
south,2014,1,6.326806451612903
south,2014,2,3.8429999999999995
south,2014,3,4.901516129032258
south,2014,4,8.343
south,2014,5,11.519354838709678
south,2014,6,14.686666666666664
south,2014,7,17.105741935483866
south,2014,8,18.907967741935487
south,2014,9,19.7564
south,2014,10,19.002806451612905
south,2014,11,16.387766666666668
south,2014,12,11.928290322580644
south,2015,1,6.851870967741935
south,2015,2,3.7989285714285717
south,2015,3,4.964258064516128
south,2015,4,8.3732
south,2015,5,11.716129032258063
south,2015,6,14.4749
south,2015,7,16.775225806451612
south,2015,8,17.749354838709678
south,2015,9,18.444
south,2015,10,18.40925806451613
south,2015,11,16.175100000000004
south,2015,12,10.655225806451613
south,2016,1,4.680258064516128
south,2016,2,2.7790344827586213
south,2016,3,4.072903225806451
south,2016,4,7.2088
south,2016,5,10.086483870967742
south,2016,6,13.2079
south,2016,7,15.97390322580645
south,2016,8,17.811645161290322
south,2016,9,18.074900000000007
south,2016,10,17.38803225806452
south,2016,11,14.119799999999998
south,2016,12,8.179774193548386
south,2017,1,3.735096774193548
south,2017,2,2.273392857142857
south,2017,3,2.6935806451612905
south,2017,4,5.4304333333333314
south,2017,5,8.999193548387098
south,2017,6,11.14557142857143
